"","na_count","Year","AHA.ID","Medicare.Provider.ID","Address.1..physical.","City.Name..physical.","State..physical.","Zip.code..physical.","Telephone.number","Bed.size.code","Primary.Service","Member.of.Council.of.Teaching.Hospital.of.the.Association.of.American.Medical.Colleges..COTH.","Catholic.Church.Operated","Critical.Access.Hospital","Rural.Referral.Center","Sole.Community.Provider","Network.member","Network.name","Network.city","Network.state","Accountable.Care.Organization.Established","ACO.Medicare.Population","System.ID","System.Name","System.Address","System.City","System.State","System.Zip","CMO.Full.Name","CMO.Title","CNO.Full.Name","CNO.Title","Average.daily.census","Licensed.Beds","Licensed.beds..long.term.unit.","Medical.Home","MEDHSE","Hospital.established.a.clinically.integrated.network","Physical.Rehabilitation.care","REHABSYS","Skilled.nursing.care","SNSYS","Intermediate.nursing.care","ICFSYS","Other.long.term.care","OTHLTSYS","Adult.day.care.program","ADULTSYS","Alzheimer.Center.","ALZSYS","Assisted.living.services.","ASSTLSYS","Case.Management","CMNGTSYS","Geriatric.services","GERSVSYS","Home.health.services","HOMEHSYS","Hospice.Program","HOSPCSYS","Pain.Management.Program","PAINSYS","Palliative.Care.Program","PALSYS","Psychiatric.geriatric.services","PSYGRSYS","Retirement.housing","RETIRSYS","Social.work.services","SOCWKSYS","Transportation.to.health.services","TPORTSYS","Wound.Management.Services...hospital","WMGTSYS","Total.Facility.Medicare.Discharges","Total.Facility.Medicare.days","Hospital.unit.Medicare.discharges","Hospital.Unit.Medicare.Days","Nursing.Home.Medicare.Discharges","Nursing.Home.Medicare.Days","Nursing.Home.Medicaid.Discharges","Nursing.Home.Medicaid.Days","Registered.nurses..FTEC.","Licensed.practical.or.vocational.nurses..FTEC.","Number.of.new.RN.graduates.hired","Beginning.of.reporting.period","End.of.reporting.period","Response.code","Hospital.Unit.Medicare.Inpatient.Days..est..","Hospital.Unit.Medicare.Inpatient.Discharges..est..","Medicare.Inpatient.Days..est..","Medicare.Inpatient.Discharges...est..","Nursing.Home.Unit.Medicaid.Inpatient.Days..est..","Nursing.Home.Unit.Medicaid.Inpatient.Discharges..est..","Nursing.Home.Unit.Medicare.Inpatient.Days..est..","Nursing.Home.Unit.Medicare.Inpatient.Discharges..est..","Licensed.Practical.Nurses.FT..est..","Part.Time.Licensed.Practical.or.Vocational.Nurses..est..","Part.Time.Registered.Nurses..est..","Registered.Nurses.FT..est.."
"1",22,"Current",6432413,"140208","4440 West 95th Street","Oak Lawn","IL","60453-2699","7086848000","500 or more beds","General medical and surgical","Y","N","N","N","N","Y","Advocate Health & Hospitals Corporation","Downers Grove","IL","Y","Y","5991032","Advocate Aurora Health","3075 Highland Parkway, Suite 600","Downers Grove","IL","60515-5563","Dr. Robert Stein, MD","Vice President Medical Management",NA,NA,655,788,NA,"N",1,"N","Y",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",1,"Y",1,"Y",1,"Y",1,"Y",1,"Y",1,"Y",1,"N",0,"Y",1,"Y",1,"Y",1,18597,110211,NA,NA,NA,NA,NA,NA,2200,0,200,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"2",18,"Current",6431865,"140250","17800 South Kedzie Avenue","Hazel Crest","IL","60429-0989","7087998000","200-299 beds","General medical and surgical","N","N","N","N","N","N",NA,NA,NA,"Y","N","5991032","Advocate Aurora Health","3075 Highland Parkway, Suite 600","Downers Grove","IL","60515-5563","Dr. Richard Multack, DO","Vice President Medical Management","Ms. Sharon A. Otten","Vice President Nursing",149,284,NA,"N",1,"N","N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"N",1,"N",1,"Y",0,"Y",0,"N",0,"N",1,"N",0,"Y",0,"N",0,"Y",0,6158,32886,NA,NA,NA,NA,NA,NA,344,0,NA,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"3",15,"Current",6320020,"210023","2001 Medical Parkway","Annapolis","MD","21401-3019","4434811000","400-499 beds","General medical and surgical","N","N","N","N","N","Y","AAMC Collaborative Care Network","Annapolis","MD","Y","Y",NA,NA,NA,NA,NA,NA,"Dr. Mitchell B Schwartz, MBA, MD","Chief Medical Officer","Ms. Barbara S Jacobs, MSN, RN-BC","Vice President, Nursing and Chief Nursing Officer",292,440,"40",NA,NA,"N","N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"Y",0,"Y",1,"Y",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,11217,53210,"11217","53210","0","0","27","194",1009,8,49,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"4",75,"Current",6440017,"230117","1521 Gull Road","Kalamazoo","MI","49048-1640","2692267000","400-499 beds","General medical and surgical","N","Y","N","N","N","Y","Borgess Health","Kalamazoo","MI","N",NA,"5990198","Ascension Healthcare","101 South Hanley Road, Suite 450","Saint Louis","MO","63105-3406","Dr. Robert Hill, MD","Vice President Medical Staff Affairs",NA,NA,241,465,NA,NA,NA,NA,"Y",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",1,"N",1,"Y",0,"Y",0,"Y",0,"N",0,"Y",0,"N",0,"Y",0,10626,54043,NA,NA,NA,NA,NA,NA,711,6,0,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"5",72,"Current",6440805,"230165","22101 Moross Road","Detroit","MI","48236-2148","3133434000","500 or more beds","General medical and surgical","Y","Y","N","N","N","Y","Area Agency on Aging","Detroit","MI","N",NA,"5990198","Ascension Healthcare","101 South Hanley Road, Suite 450","Saint Louis","MO","63105-3406","Dr. Kevin Grady, MD","Chief Medical Officer",NA,NA,398,714,NA,"N",1,"Y","Y",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"Y",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,11605,65979,NA,NA,NA,NA,NA,NA,1310,0,37,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"6",15,"Current",6410048,"362032","2600 Sixth Street, SW","Canton","OH","44710-1702","3303634000","6-24 beds","Acute Long-Term Care","N","N","N","N","N","N",NA,NA,NA,NA,NA,"5990859","Aultman Health Foundation","2600 Sixth Street SW","Canton","OH","44710-1702","Dr. George Kefalas","Chief Medical Officer",NA,NA,11,30,NA,NA,NA,"N","N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,141,3105,NA,NA,NA,NA,NA,NA,26,6,NA,"10/1/2016","9/30/2017","Y","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"7",27,"Current",6450865,"520064","945 North 12th Street","Milwaukee","WI","53233-1337","4142192000","200-299 beds","General medical and surgical","Y","N","N","N","N","Y","The Aurora Network","Milwaukee","WI",NA,NA,"5991032","Advocate Aurora Health","3075 Highland Parkway, Suite 600","Downers Grove","IL","60515-5563",NA,NA,"Ms. Ania Horner, RN, MSN","Vice President and Chief Nurse Executive",109,386,NA,NA,NA,NA,"Y",0,"N",0,"N",0,"N",0,"N",1,"Y",0,"N",0,"Y",0,"Y",1,"N",1,"N",1,"Y",0,"Y",1,"Y",0,"N",0,"Y",0,"N",0,"Y",1,2135,11450,NA,NA,NA,NA,NA,NA,448,0,113,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"8",77,"Current",6450017,"520138","2900 West Oklahoma Avenue","Milwaukee","WI","53215-4330","4146496000","500 or more beds","General medical and surgical","Y","N","N","N","N","Y","The Aurora Network","Milwaukee","WI",NA,NA,"5991032","Advocate Aurora Health","3075 Highland Parkway, Suite 600","Downers Grove","IL","60515-5563","Dr. Jeffrey A. Smith, MD","Senior Vice President and Chief Medical Officer","Ms. Faye Zwieg, BSN, RN, MBA","Vice President and Chief Nursing Officer",558,1213,NA,NA,NA,NA,"Y",0,"N",0,"N",0,"N",0,"N",1,"N",1,"N",0,"Y",0,"Y",1,"N",1,"N",1,"Y",0,"Y",1,"Y",0,"N",0,"Y",0,"N",0,"Y",1,20528,131856,NA,NA,NA,NA,NA,NA,1961,15,576,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"9",76,"Current",6650420,"430016","1325 South Cliff Avenue","Sioux Falls","SD","57105-1007","6053228000","400-499 beds","General medical and surgical","N","Y","N","N","N","Y","Avera Health","Sioux Falls","SD","Y","Y","5995255","Avera Health","3900 West Avera Drive, Suite 300","Sioux Falls","SD","57108-5721","Dr. Michael Elliott, MD","Chief Medical Officer and Senior Vice President of Medical Affairs","Ms. Judy Blauwet, BSN, MPH, RN","Senior Vice President of Hospital Operations and Chief Nursing Officer",336,514,"114","Y",1,NA,"Y",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,8410,49979,"8239","42145","171","7834","11","10159",1681,171,155,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"10",20,"Current",6840030,"060103","100 Health Park Drive","Louisville","CO","80027-9583","3036731000","100-199 beds","General medical and surgical","N","N","N","N","N","N",NA,NA,NA,"Y","Y","5994165","AdventHealth","900 Hope Way","Altamonte Springs","FL","32714-1502","Dr. David Ehrenberger, MD","Chief Medical Officer","Ms. Lavah Boyers Lowe, FACHE, RN","Chief Nursing Officer",34,114,NA,"N",1,"N","Y",1,"N",1,"N",1,"N",0,"N",0,"N",0,"N",1,"Y",0,"Y",0,"Y",1,"Y",1,"Y",0,"Y",0,"N",1,"N",0,"Y",0,"N",0,"N",1,780,2332,NA,NA,NA,NA,NA,NA,229,4,5,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
